Date,USA_Index_Total,USA_Index_SMA(36),USA_Index_SMA(12),USA_Bonds_10Y2Y,interest_rates_USA,S&P500_change_stat_mean,MSCI_World_change_stat_mean,Dollar_Price_in_Yen_scaled_mean,VIX_Index_Price_Scaled,USA_Index_PCA,Japan_Index_Total,Japan_Index_SMA(36),Japan_Index_SMA(12),Nikkei_225_change_stat_mean,Japan_Index_PCA
1997-03-01,0.0,-0.6388888888888888,-0.16666666666666666,0.4714285714285714,5.39,0.3196819281231267,0.19921301682759385,6.136523809523809,0.23976526676733925,3.360617951879267,-4.0,-2.7777777777777777,-3.5833333333333335,-0.2651846432309673,2.1739030649350735
1997-04-01,-1.0,-0.6111111111111112,-0.16666666666666666,0.43727272727272726,5.51,0.4038260005253574,0.1581905001497885,6.280045454545455,0.240372027984416,3.1462965821227336,-5.0,-2.861111111111111,-3.6666666666666665,-0.20124794501967472,2.59787478140768
1997-05-01,0.0,-0.5555555555555556,-0.16666666666666666,0.43681818181818177,5.5,0.4715782637692656,0.30699073916816605,5.943409090909091,0.24232895328088702,3.311055809070197,-4.0,-2.9166666666666665,-3.75,-0.10436372025288525,2.1559133598481903
1997-06-01,0.0,-0.5,-0.16666666666666666,0.3990476190476191,5.56,0.5528198162709731,0.38854074457220705,5.711547619047619,0.2445507819275712,3.3224905976842556,-4.0,-2.9444444444444446,-3.75,-0.10515345254104315,2.050872262309046
1997-07-01,0.0,-0.4444444444444444,-0.16666666666666666,0.3317391304347826,5.52,0.7736228579080769,0.5385891777649446,5.7646304347826085,0.24732499243667547,3.266216789020455,-5.0,-2.9722222222222223,-3.9166666666666665,0.02463445544169532,1.912487506861636
1997-08-01,0.0,-0.3888888888888889,-0.16666666666666666,0.3595238095238095,5.54,0.6222996861785098,0.37276913889503177,5.892547619047619,0.27940845615213117,3.54622298861792,-4.0,-2.9722222222222223,-4.0,-0.14030050945622766,1.9114444109835866
1997-09-01,0.0,-0.3333333333333333,-0.16666666666666666,0.32863636363636367,5.54,0.6174306108664132,0.4003582717393592,6.0422045454545446,0.2901526987299569,3.3357277716157077,-5.0,-3.0277777777777777,-4.166666666666667,-0.3074865709882489,2.0634790380589636
1997-10-01,-1.0,-0.3055555555555556,-0.16666666666666666,0.2578260869565217,5.5,0.5152543792964757,0.27352204307997796,6.0546304347826085,0.28885779927747024,3.6885244558586368,-4.0,-3.0555555555555554,-4.25,-0.35827650663636107,2.020952380790507
1997-11-01,0.0,-0.25,-0.16666666666666666,0.161,5.52,0.46770505253489497,0.21973705688836306,6.269025,0.38866851338174907,3.4150510964229435,-5.0,-3.138888888888889,-4.416666666666667,-0.37123733762879535,1.7519786198070426
1997-12-01,0.0,-0.19444444444444445,-0.16666666666666666,0.09347826086956522,5.5,0.5375666521139209,0.2678864153505986,6.480260869565217,0.3196117394189435,3.3257743773583295,-5.0,-3.1666666666666665,-4.583333333333333,-0.3662085796354147,2.0214843651844068
1998-01-01,-1.0,-0.2222222222222222,-0.25,0.18363636363636363,5.56,0.45000588848410955,0.32775096534007797,6.470613636363637,0.28989433885673105,3.251937425355034,-4.0,-3.25,-4.5,-0.10805376501264245,1.9485696227828622
1998-02-01,0.0,-0.2222222222222222,-0.25,0.154,5.51,0.5790783148933324,0.3903318327172733,6.284475,0.2441709902822793,3.4312321172738085,-5.0,-3.361111111111111,-4.5,-0.10866376714309123,1.8368464602981012
1998-03-01,0.0,-0.2222222222222222,-0.25,0.08590909090909092,5.49,0.7568603177756293,0.4851834881435167,6.450431818181818,0.24227398534818098,3.404940872727708,-4.0,-3.4444444444444446,-4.5,-0.08162615792662127,2.029710420394681
1998-04-01,-1.0,-0.25,-0.25,0.0740909090909091,5.45,0.6651582609831445,0.47659039920092505,6.5882499999999995,0.2682747097627729,3.209870758616763,-4.0,-3.5277777777777777,-4.416666666666667,-0.3011163743744239,2.0160367150513907
1998-05-01,0.0,-0.25,-0.25,0.05523809523809523,5.49,0.518695027023569,0.34696731702861233,6.749833333333333,0.2498142738147346,3.567383233533984,-5.0,-3.638888888888889,-4.5,-0.387797415021588,2.107370968492394
1998-06-01,-1.0,-0.2777777777777778,-0.3333333333333333,-0.023636363636363636,5.56,0.5075882439622761,0.29339303928023225,7.022181818181818,0.262420423099859,3.2677901231601325,-5.0,-3.7222222222222223,-4.583333333333333,-0.4175252327454572,1.9100630064234494
1998-07-01,-1.0,-0.3055555555555556,-0.4166666666666667,0.0021739130434782605,5.54,0.3503293280296608,0.24456338326101598,7.038065217391304,0.23788165785570517,3.07272000904918,-5.0,-3.7777777777777777,-4.583333333333333,-0.33033289723148934,1.7266745443705085
1998-08-01,-1.0,-0.3333333333333333,-0.5,0.07333333333333333,5.55,0.16216782861004672,0.1229539259990815,7.2211428571428575,0.37331628095671476,3.8045972899960994,-4.0,-3.8333333333333335,-4.583333333333333,-0.40954999879705795,1.8901603764560961
1998-09-01,0.0,-0.3333333333333333,-0.5,0.14,5.51,0.1855895374062724,0.06353498236636443,6.717727272727273,0.47143216712811475,3.557022961378649,-5.0,-3.888888888888889,-4.583333333333333,-0.46105584435584346,2.3021485878063217
1998-10-01,0.0,-0.3333333333333333,-0.4166666666666667,0.4454545454545455,5.07,0.39167035730551913,0.2723274087436131,6.020272727272727,0.45002692104489894,3.4139789611091618,-5.0,-4.0,-4.666666666666667,-0.2814883391024839,2.374221506006371
1998-11-01,0.0,-0.3333333333333333,-0.4166666666666667,0.28285714285714286,4.83,0.41393093159774175,0.39488077838343366,6.020309523809524,0.31610892419587,3.434976043475097,-4.0,-4.055555555555555,-4.583333333333333,-0.13258430194678575,2.2407682139290612
