"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/1984","245.42","245.42","245.42","245.42","","-0.13%"
"08/01/1984","245.75","245.75","245.75","245.75","","0.18%"
"07/31/1984","245.30","245.30","245.30","245.30","","-0.30%"
"07/30/1984","246.05","246.05","246.05","246.05","","0.26%"
"07/27/1984","245.40","245.40","245.40","245.40","","0.72%"
"07/26/1984","243.65","243.65","243.65","243.65","","-0.79%"
"07/25/1984","245.60","245.60","245.60","245.60","","-0.24%"
"07/24/1984","246.18","246.18","246.18","246.18","","-0.31%"
"07/23/1984","246.95","246.95","246.95","246.95","","0.71%"
"07/20/1984","245.20","245.20","245.20","245.20","","0.86%"
"07/19/1984","243.12","243.12","243.12","243.12","","-0.30%"
"07/18/1984","243.85","243.85","243.85","243.85","","0.62%"
"07/17/1984","242.35","242.35","242.35","242.35","","0.69%"
"07/16/1984","240.70","240.70","240.70","240.70","","-0.31%"
"07/13/1984","241.45","241.45","241.45","241.45","","-0.51%"
"07/12/1984","242.68","242.68","242.68","242.68","","0.24%"
"07/11/1984","242.10","242.10","242.10","242.10","","0.27%"
"07/10/1984","241.45","241.45","241.45","241.45","","-0.49%"
"07/09/1984","242.63","242.63","242.63","242.63","","0.57%"
"07/06/1984","241.25","241.25","241.25","241.25","","0.37%"
"07/05/1984","240.35","240.35","240.35","240.35","","-0.08%"
"07/04/1984","240.55","240.55","240.55","240.55","","0.38%"
"07/03/1984","239.63","239.63","239.63","239.63","","0.47%"
"07/02/1984","238.50","238.50","238.50","238.50","","0.51%"
"06/29/1984","237.30","237.30","237.30","237.30","","0.00%"
"06/28/1984","237.30","237.30","237.30","237.30","","-0.29%"
"06/27/1984","238.00","238.00","238.00","238.00","","0.02%"
"06/26/1984","237.95","237.95","237.95","237.95","","0.00%"
"06/25/1984","237.95","237.95","237.95","237.95","","0.85%"
"06/22/1984","235.95","235.95","235.95","235.95","","0.47%"
"06/21/1984","234.85","234.85","234.85","234.85","","0.13%"
"06/20/1984","234.55","234.55","234.55","234.55","","0.69%"
"06/19/1984","232.95","232.95","232.95","232.95","","-0.21%"
"06/18/1984","233.45","233.45","233.45","233.45","","0.19%"
"06/15/1984","233.00","233.00","233.00","233.00","","0.58%"
"06/14/1984","231.65","231.65","231.65","231.65","","-0.32%"
"06/13/1984","232.40","232.40","232.40","232.40","","-0.11%"
"06/12/1984","232.65","232.65","232.65","232.65","","0.31%"
"06/11/1984","231.93","231.93","231.93","231.93","","0.09%"
"06/08/1984","231.72","231.72","231.72","231.72","","0.16%"
"06/07/1984","231.35","231.35","231.35","231.35","","0.37%"
"06/06/1984","230.50","230.50","230.50","230.50","","0.02%"
"06/05/1984","230.45","230.45","230.45","230.45","","0.33%"
"06/04/1984","229.70","229.70","229.70","229.70","","-0.17%"
"06/01/1984","230.10","230.10","230.10","230.10","","-0.64%"
"05/31/1984","231.58","231.58","231.58","231.58","","0.04%"
"05/30/1984","231.48","231.48","231.48","231.48","","-0.14%"
"05/29/1984","231.80","231.80","231.80","231.80","","0.04%"
"05/25/1984","231.70","231.70","231.70","231.70","","-0.06%"
"05/24/1984","231.83","231.83","231.83","231.83","","-0.23%"
"05/23/1984","232.37","232.37","232.37","232.37","","-0.38%"
"05/22/1984","233.25","233.25","233.25","233.25","","0.11%"
"05/21/1984","233.00","233.00","233.00","233.00","","-0.15%"
"05/18/1984","233.35","233.35","233.35","233.35","","0.44%"
"05/17/1984","232.33","232.33","232.33","232.33","","0.53%"
"05/16/1984","231.10","231.10","231.10","231.10","","-0.28%"
"05/15/1984","231.75","231.75","231.75","231.75","","0.24%"
"05/14/1984","231.20","231.20","231.20","231.20","","0.39%"
"05/11/1984","230.30","230.30","230.30","230.30","","0.48%"
"05/10/1984","229.20","229.20","229.20","229.20","","0.14%"
"05/09/1984","228.87","228.87","228.87","228.87","","-0.12%"
"05/08/1984","229.15","229.15","229.15","229.15","","0.07%"
"05/07/1984","229.00","229.00","229.00","229.00","","0.95%"
"05/04/1984","226.85","226.85","226.85","226.85","","0.20%"
"05/03/1984","226.40","226.40","226.40","226.40","","-0.29%"
"05/02/1984","227.05","227.05","227.05","227.05","","0.04%"
"05/01/1984","226.95","226.95","226.95","226.95","","-0.02%"
"04/30/1984","227.00","227.00","227.00","227.00","","0.20%"
"04/27/1984","226.55","226.55","226.55","226.55","","0.35%"
"04/26/1984","225.75","225.75","225.75","225.75","","0.07%"
"04/25/1984","225.60","225.60","225.60","225.60","","-0.11%"
"04/24/1984","225.85","225.85","225.85","225.85","","0.49%"
"04/23/1984","224.75","224.75","224.75","224.75","","-0.16%"
"04/20/1984","225.10","225.10","225.10","225.10","","0.00%"
"04/19/1984","225.10","225.10","225.10","225.10","","0.13%"
"04/18/1984","224.80","224.80","224.80","224.80","","-0.11%"
"04/17/1984","225.05","225.05","225.05","225.05","","-0.16%"
"04/16/1984","225.42","225.42","225.42","225.42","","0.32%"
"04/13/1984","224.70","224.70","224.70","224.70","","0.27%"
"04/12/1984","224.10","224.10","224.10","224.10","","0.63%"
"04/11/1984","222.70","222.70","222.70","222.70","","-1.10%"
"04/10/1984","225.18","225.18","225.18","225.18","","-0.14%"
"04/09/1984","225.50","225.50","225.50","225.50","","0.07%"
"04/06/1984","225.35","225.35","225.35","225.35","","-0.11%"
"04/05/1984","225.60","225.60","225.60","225.60","","0.11%"
"04/04/1984","225.35","225.35","225.35","225.35","","0.11%"
"04/03/1984","225.10","225.10","225.10","225.10","","0.20%"
"04/02/1984","224.65","224.65","224.65","224.65","","-0.04%"
"03/30/1984","224.75","224.75","224.75","224.75","","0.31%"
"03/29/1984","224.05","224.05","224.05","224.05","","-0.29%"
"03/28/1984","224.70","224.70","224.70","224.70","","0.11%"
"03/27/1984","224.45","224.45","224.45","224.45","","-0.10%"
